11.12	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.21;0.16;0.03;0.16;13;15;0.21;0.16	0.20;0.17;0.04;0.17;20;19;0.17;0.17	0.20;0.17;0.04;0.17;17;21;0.17;0.17	0.20;0.17;0.04;0.17;23;22;0.17;0.17
12.30	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.19;0.19;0.05;0.19;14;4;0.19;0.19	0.20;0.17;0.04;0.17;21;24;0.15;0.17	0.20;0.17;0.04;0.17;10;20;0.15;0.17	0.20;0.17;0.04;0.17;22;21;0.15;0.17
13.03	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.17;0.20;0.07;0.20;15;1;0.17;0.20	0.20;0.17;0.04;0.17;22;21;0.13;0.17	0.20;0.17;0.04;0.17;12;8;0.13;0.17	0.20;0.17;0.04;0.17;22;7;0.13;0.17
14.65	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;1;0;0.04;0.17	0.14;0.24;0.10;0.24;21;6;0.14;0.24	0.20;0.17;0.04;0.17;21;13;0.10;0.17	0.20;0.17;0.04;0.17;11;7;0.10;0.17	0.20;0.17;0.04;0.17;23;7;0.10;0.17
15.59	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;1;0;0.04;0.17	0.14;0.24;0.10;0.24;19;0;0.12;0.24	0.20;0.17;0.04;0.17;21;12;0.08;0.17	0.20;0.17;0.04;0.17;14;8;0.08;0.17	0.20;0.17;0.04;0.17;23;9;0.08;0.17
16.37	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.14;0.24;0.10;0.24;17;9;0.11;0.24	0.20;0.17;0.04;0.17;23;11;0.07;0.17	0.20;0.17;0.04;0.17;15;9;0.07;0.17	0.20;0.17;0.04;0.17;21;9;0.07;0.17
17.10	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.14;0.24;0.10;0.24;7;21;0.09;0.23	0.20;0.17;0.04;0.17;21;7;0.05;0.17	0.20;0.17;0.04;0.17;16;8;0.05;0.17	0.20;0.17;0.04;0.17;22;8;0.05;0.17
18.04	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.14;0.24;0.10;0.24;0;24;0.07;0.21	0.20;0.17;0.04;0.17;21;10;0.03;0.16	0.20;0.17;0.04;0.17;10;10;0.03;0.16	0.20;0.17;0.04;0.17;24;11;0.03;0.16
19.69	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.14;0.24;0.10;0.24;3;34;0.04;0.17	0.20;0.17;0.04;0.17;22;22;0.00;0.12	0.20;0.17;0.04;0.17;3;19;0.00;0.12	0.20;0.17;0.04;0.17;22;21;0.00;0.12
20.57	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.14;0.24;0.10;0.24;0;36;0.02;0.15	0.20;0.17;0.04;0.17;4;8;0.02;0.12	0.20;0.17;0.04;0.17;4;8;0.02;0.12	0.20;0.17;0.04;0.17;4;10;0.02;0.12
