22.80	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.04;0.17;0.20;0.17;1;2;0.04;0.17	0.20;0.17;0.04;0.17;3;1;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
23.60	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.04;0.17;0.20;0.17;1;1;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;2;0.20;0.17
24.40	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;1;0.20;0.17
25.20	0.04;0.17;0.20;0.17;2;2;0.04;0.17	0.04;0.17;0.20;0.17;2;2;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
26.00	0.04;0.17;0.20;0.17;2;2;0.04;0.17	0.04;0.17;0.20;0.17;1;1;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;1;0.20;0.17
26.80	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;1;0.20;0.17
27.60	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.04;0.17;0.20;0.17;1;2;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;1;0.20;0.17
28.40	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.04;0.17;0.20;0.17;1;2;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;1;0.20;0.17
29.20	0.04;0.17;0.20;0.17;3;2;0.04;0.17	0.04;0.17;0.20;0.17;1;2;0.04;0.17	0.20;0.17;0.04;0.17;3;1;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
30.00	0.04;0.17;0.20;0.17;3;1;0.04;0.17	0.04;0.17;0.20;0.17;1;2;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;1;0.20;0.17
30.80	0.04;0.17;0.20;0.17;3;1;0.04;0.17	0.04;0.17;0.20;0.17;2;2;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;1;0.20;0.17
31.60	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.04;0.17;0.20;0.17;1;1;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;1;0.20;0.17
32.40	0.04;0.17;0.20;0.17;2;2;0.04;0.17	0.04;0.17;0.20;0.17;1;1;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;1;0.20;0.17
